Test_Case,Producer_Rate,Environment,Message_Size,Percentile,Latency
TC01,100,STANDARD,100,62.26196005573618,3.055
TC01,100,STANDARD,100,62.61031119368323,3.057
TC01,100,STANDARD,100,62.78946320748457,3.058
TC01,100,STANDARD,100,63.15772012474288,3.06
TC01,100,STANDARD,100,63.37336606728154,3.061
TC01,100,STANDARD,100,63.519341782230775,3.062
TC01,100,STANDARD,100,63.89091632937429,3.064
TC01,100,STANDARD,100,64.04352730409396,3.065
TC01,100,STANDARD,100,64.32552584433681,3.067
TC01,100,STANDARD,100,64.63406542366134,3.069
TC01,100,STANDARD,100,64.80989980757747,3.07
TC01,100,STANDARD,100,65.0885807179351,3.072
TC01,100,STANDARD,100,65.2544622121956,3.073
TC01,100,STANDARD,100,65.61940149956871,3.075
TC01,100,STANDARD,100,65.79855351337005,3.076
TC01,100,STANDARD,100,66.176763320284,3.078
TC01,100,STANDARD,100,66.37582111339658,3.079
TC01,100,STANDARD,100,66.53174971800146,3.08
TC01,100,STANDARD,100,66.80047773870346,3.082
TC01,100,STANDARD,100,67.13887598699489,3.084
TC01,100,STANDARD,100,67.25499303297724,3.085
TC01,100,STANDARD,100,67.52372105367925,3.087
TC01,100,STANDARD,100,67.79908433415169,3.089
TC01,100,STANDARD,100,68.02800079623117,3.091
TC01,100,STANDARD,100,68.28345829739234,3.093
TC01,100,STANDARD,100,68.58536261694645,3.095
TC01,100,STANDARD,100,68.75787937097738,3.096
TC01,100,STANDARD,100,69.05314843076107,3.098
TC01,100,STANDARD,100,69.29865304226661,3.1
TC01,100,STANDARD,100,69.54084002388693,3.102
TC01,100,STANDARD,100,69.82283856412978,3.104
TC01,100,STANDARD,100,70.09820184460222,3.106
TC01,100,STANDARD,100,70.3238006767965,3.108
TC01,100,STANDARD,100,70.55935239864641,3.11
TC01,100,STANDARD,100,70.85130382854489,3.112
TC01,100,STANDARD,100,71.07690266073917,3.114
TC01,100,STANDARD,100,71.2892309733926,3.116
TC01,100,STANDARD,100,71.51482980558688,3.118
TC01,100,STANDARD,100,71.8499104239931,3.121
TC01,100,STANDARD,100,72.05228584699091,3.123
TC01,100,STANDARD,100,72.30774334815209,3.126
TC01,100,STANDARD,100,72.51675403092031,3.128
TC01,100,STANDARD,100,72.78216442173711,3.131
TC01,100,STANDARD,100,73.0442571826687,3.134
TC01,100,STANDARD,100,73.33620861256718,3.137
TC01,100,STANDARD,100,73.5419016654502,3.139
TC01,100,STANDARD,100,73.81394731603743,3.142
TC01,100,STANDARD,100,74.00968747926481,3.144
TC01,100,STANDARD,100,74.31490942870414,3.147
TC01,100,STANDARD,100,74.54714352066884,3.15
TC01,100,STANDARD,100,74.81918917125606,3.153
TC01,100,STANDARD,100,75.00497644482782,3.155
TC01,100,STANDARD,100,75.14763452989185,3.157
TC01,100,STANDARD,100,75.29029261495587,3.159
TC01,100,STANDARD,100,75.38318625174176,3.16
TC01,100,STANDARD,100,75.53579722646141,3.162
TC01,100,STANDARD,100,75.72490212991839,3.164
TC01,100,STANDARD,100,75.80784287704864,3.165
TC01,100,STANDARD,100,75.8941012540641,3.166
TC01,100,STANDARD,100,76.04339459889854,3.168
TC01,100,STANDARD,100,76.13628823568443,3.169
TC01,100,STANDARD,100,76.31212261960056,3.171
TC01,100,STANDARD,100,76.43155729546812,3.173
TC01,100,STANDARD,100,76.50122752305752,3.174
TC01,100,STANDARD,100,76.65052086789198,3.176
TC01,100,STANDARD,100,76.77990843341517,3.178
TC01,100,STANDARD,100,76.9225665184792,3.18
TC01,100,STANDARD,100,77.02873067480591,3.182
TC01,100,STANDARD,100,77.1581182403291,3.184
TC01,100,STANDARD,100,77.27091765642625,3.186
TC01,100,STANDARD,100,77.42352863114591,3.188
TC01,100,STANDARD,100,77.5230575277022,3.19
TC01,100,STANDARD,100,77.6524450932254,3.192
TC01,100,STANDARD,100,77.76524450932254,3.194
TC01,100,STANDARD,100,77.88136155530489,3.196
TC01,100,STANDARD,100,78.07710171853228,3.199
